'Titulo','Direção','Nota','Link','Ano','Categoria'
'O Poderoso Chefão','Francis Ford Coppola','4.8','https://www.adorocinema.com/filmes/filme-1628/','24 de março de 1972','N/A'
'Um Sonho De Liberdade','Frank Darabont','4.8','https://www.adorocinema.com/filmes/filme-11736/','25 de janeiro de 1995','N/A'
'A Lista De Schindler','Steven Spielberg','3.9','https://www.adorocinema.com/filmes/filme-9393/','31 de dezembro de 1993','N/A'
'Forrest Gump - O Contador De Histórias','Robert Zemeckis','4.7','https://www.adorocinema.com/filmes/filme-10568/','7 de dezembro de 1994','N/A'
'O Rei Leão','Roger Allers.                                                                                                                                                                                                                                Rob Minkoff','4.7','https://www.adorocinema.com/filmes/filme-10862/','8 de julho de 1994','N/A'
'À Espera De Um Milagre','Frank Darabont','4.7','https://www.adorocinema.com/filmes/filme-22779/','10 de março de 2000','N/A'
'O Senhor Dos Anéis - O Retorno Do Rei','Peter Jackson','4.7','https://www.adorocinema.com/filmes/filme-39187/','25 de dezembro de 2003','N/A'
'Batman - O Cavaleiro Das Trevas','Christopher Nolan','4.7','https://www.adorocinema.com/filmes/filme-115362/','18 de julho de 2008','N/A'
'Vingadores: Ultimato','Joe Russo.                                                                                                                                                                                                                                Anthony Russo','3.9','https://www.adorocinema.com/filmes/filme-232669/','25 de abril de 2019','N/A'
'Vingadores: Guerra Infinita','Joe Russo.                                                                                                                                                                                                                                Anthony Russo','3.6','https://www.adorocinema.com/filmes/filme-218265/','26 de abril de 2018','N/A'
'O Poderoso Chefão 2','Francis Ford Coppola','4.7','https://www.adorocinema.com/filmes/filme-28201/','20 de dezembro de 1974','N/A'
'O Auto Da Compadecida','Guel Arraes','4.7','https://www.adorocinema.com/filmes/filme-120824/','10 de setembro de 2000','N/A'
'O Resgate Do Soldado Ryan','Steven Spielberg','4.7','https://www.adorocinema.com/filmes/filme-18598/','11 de setembro de 1998','N/A'
'Viva - A Vida É Uma Festa','Lee Unkrich.                                                                                                                                                                                                                                Adrian Molina','3.7','https://www.adorocinema.com/filmes/filme-206775/','4 de janeiro de 2018','N/A'
'De Volta Para O Futuro','Robert Zemeckis','4.7','https://www.adorocinema.com/filmes/filme-448/','25 de dezembro de 1985','N/A'
'Gladiador','Ridley Scott','4.7','https://www.adorocinema.com/filmes/filme-24944/','19 de maio de 2000','N/A'
'Django Livre','Quentin Tarantino','4.3','https://www.adorocinema.com/filmes/filme-190918/','18 de janeiro de 2013','N/A'
'O Silêncio Dos Inocentes','Jonathan Demme','4.6','https://www.adorocinema.com/filmes/filme-6641/','17 de maio de 1991','N/A'
'O Senhor Dos Anéis - A Sociedade Do Anel','Peter Jackson','4.6','https://www.adorocinema.com/filmes/filme-27070/','1 de janeiro de 2002','N/A'
'O Senhor Dos Anéis - As Duas Torres','Peter Jackson','4.6','https://www.adorocinema.com/filmes/filme-39186/','27 de dezembro de 2002','N/A'
'Intocáveis','Eric Toledano.                                                                                                                                                                                                                                Olivier Nakache','3.0','https://www.adorocinema.com/filmes/filme-182745/','31 de agosto de 2012','N/A'
'Interestelar','Christopher Nolan','3.8','https://www.adorocinema.com/filmes/filme-114782/','6 de novembro de 2014','N/A'
'Sempre Ao Seu Lado','N/A','4.6','https://www.adorocinema.com/filmes/filme-128959/','25 de dezembro de 2009','N/A'
